Data,Abertura,Fechamento,Maximo,Minimo,Volume
2019-12-07,31262.80132,30999.99728,31490,30862,1024888.51970914
2019-12-08,30999.99264,31172.08,31450,30899,918318.25864109
2019-12-09,31299.95961,30620.03,31546.19999,30522.22,7101462.0639952
2019-12-10,30620.03003,30108.70069,30949.12,30102.01,5901722.01156551
2019-12-11,30269.85087,29600,30370.95,29500,6090384.50474689
2019-12-12,29599.99,29849.99989,30200,29498.9,5840282.80417569
2019-12-13,29745.00003,30120,30490.12,29611.57851,4328763.93411963
2019-12-14,30284.9597,29294.76445,30285,29008.88,2507989.00711622
2019-12-15,29101.3204,29149.00002,29500,29100,1198976.12737524
2019-12-16,29149.00002,28203.00167,30149,28011,7475043.50858181
2019-12-17,28348.93979,27250.00001,28403.6,27000,7821087.7348132
2019-12-18,27250.83001,29086.7,30500,26401,11492805.25256207
2019-12-19,29086.70001,29052.08244,29789.97,28676.18001,4933247.66189608
2019-12-20,29052.08246,29620.50015,29832,28943.90048,5517243.84825452
2019-12-21,29621.00003,29495.80999,29796,29300,765867.88828472
2019-12-22,29332.73943,31199.78589,31389,29331,3627735.76217752
2019-12-23,31199.7656,30149.98849,31500,30050,6848226.69931962
2019-12-24,30149.98514,29849.99,31048,29550,3277063.29371752
2019-12-25,29849.99951,29650,29899.99992,29500,722126.91395452
2019-12-26,29680,29567,30200,29502.5169,4379277.93731334
2019-12-27,29567,29716,29894.43993,29033,4558890.90511341
2019-12-28,29716,29740.03,29857.49999,29560.50999,810170.87806825
2019-12-29,29740.02935,29663.99309,30210.01,29590.07096,1062825.69749356
2019-12-30,29663.99367,29499.90542,30200,29320,5139296.66032079
2019-12-31,29325.00167,29398.99999,29999.85,29057,2174983.86153873
2020-01-01,29398.99999,29118,29398.99999,29100,590409.29464285
2020-01-02,29106,28010,29999.99,28003,4533602.49804147
2020-01-03,28010,29670.48171,30350,28003.12001,6237530.81227854
2020-01-04,29838.99993,30000.99158,30150,29670.73443,1464928.1050437
2020-01-05,30000.99158,30199.99,30246.99993,29650,1768202.57749941
2020-01-06,30199.99993,31949.8399,32330,30028.99055,12146405.87389586
2020-01-07,31528.08999,33250,33978,31500,14661852.43588543
2020-01-08,33439.85992,32580,34280.14782,32000.05,13509310.20625406
2020-01-09,32580,32243.9,32780.4,32000,5636665.9983639
2020-01-10,32243.9,33387.98997,33450.35,31800,8451602.82637247
2020-01-11,33387.99,32999,33470,32515.16,2274484.43639174
2020-01-12,32999,33040.00001,33395,32911.00155999,971025.3580954
2020-01-13,33146.9345,34378.97,34799,32900,11322621.0754035
2020-01-14,34378.96994,35969.69,36500,34300,20661316.37366617
2020-01-15,36000,36106.50001,37200,35463,12012155.02690205
2020-01-16,36108,36599.99,36899.99,35710,7426242.76000987
2020-01-17,36600,37237.83,37499,36599.99,9718819.30302278
2020-01-18,37237.83,37998,37999.99,37055,4484700.30479322
2020-01-19,37990.00001,36475.34119,38000,35501,7138142.52258738
2020-01-20,36313,36413.02005,36996.07,35619,7746583.90172191
2020-01-21,36539.06519999,36837.45418,37000,36409,5404321.08551269
2020-01-22,36670.10053,36339.09107,37000,36200,5054132.83012521
2020-01-23,36339.08952,34915,36339.08952,34590,8758311.59273687
2020-01-24,35003.99958,35318.53385,36000,34450,6856786.73749639
2020-01-25,35318.72571,35255.39612,35690,35010,1384939.04902927
2020-01-26,35252.50529999,36337.95985,36500,35060,2504464.82454549
2020-01-27,36334.96993,37837.96991,37980.21,35951.00001,15549739.69364395
2020-01-28,37701.01001,38805,39400,37500,16910851.44163344
2020-01-29,38805.00003,38672,39530,38551.1,12639998.20051463
2020-01-30,38750,39601,40588.9,38672,18786514.83630979
